# Windows to Unicode
#	Column #1 is the shift-JIS code (in hex)
#	Column #2 is the Unicode (in hex as 0xXXXX)
0x8740	0x2460
0x8741	0x2461
0x8742	0x2462
0x8743	0x2463
0x8744	0x2464
0x8745	0x2465
0x8746	0x2466
0x8747	0x2467
0x8748	0x2468
0x8749	0x2469
0x874A	0x246A
0x874B	0x246B
0x874C	0x246C
0x874D	0x246D
0x874E	0x246E
0x874F	0x246F
0x8750	0x2470
0x8751	0x2471
0x8752	0x2472
0x8753	0x2473
0x8754	0x2160
0x8755	0x2161
0x8756	0x2162
0x8757	0x2163
0x8758	0x2164
0x8759	0x2165
0x875A	0x2166
0x875B	0x2167
0x875C	0x2168
0x875D	0x2169
0x875F	0x3349
0x8760	0x3314
0x8761	0x3322
0x8762	0x334D
0x8763	0x3318
0x8764	0x3327
0x8765	0x3303
0x8766	0x3336
0x8767	0x3351
0x8768	0x3357
0x8769	0x330D
0x876A	0x3326
0x876B	0x3323
0x876C	0x332B
0x876D	0x334A
0x876E	0x333B
0x876F	0x339C
0x8770	0x339D
0x8771	0x339A
0x8772	0x338F
0x8773	0x33C4
0x8774	0x33A1
0x877E	0x337B
0x8780	0x301D
0x8781	0x301F
0x8782	0x2116
0x8783	0x33CD
0x8784	0x2121
0x8785	0x32A4
0x8786	0x32A5
0x8787	0x32A6
0x8788	0x32A7
0x8789	0x32A8
0x878A	0x3231
0x878B	0x3232
0x878C	0x3239
0x878D	0x337E
0x878E	0x337D
0x878F	0x337C
0x8790	0x2252
0x8791	0x2261
0x8792	0x222B
0x8793	0x222E
0x8794	0x2211
0x8795	0x221A
0x8796	0x22A5
0x8797	0x2220
0x8798	0x221F
0x8799	0x22BF
0x879A	0x2235
0x879B	0x2229
0x879C	0x222A
0x81E0	0x2252
0x81DF	0x2261
0x81E7	0x222B
0x81E3	0x221A
0x81DB	0x22A5
0x81DA	0x2220
0x81E6	0x2235
0x81BF	0x2229
0x81BE	0x222A
